SKU,FNSku,Condition,Brand,Manufacturer,ProductTitle,LongDescription,ShortDescription,Subtitle,ASIN,UPC,EAN,ISBN,MPN,Price,MAPPrice,MSRP,BundleType,ProductType,VariationVaryBy,CopyToChildren,MultipackQuantity,VariationParentSKU,SubStyleCode,IsInRelationship,NetWeight,GrossWeight,DimensionUnit,WeightUnit,ProductHeight,ProductLength,ProductWidth,BoxHeight,BoxLength,BoxWidth,HarmonizedCode,IsBlocked,Warranty,ClassificationNum,Gender,AgeGroup,NRFDepartment,CountryOfOrigin,OriginalUPC,CustomerProductSKU,VariationSet,StyleStatus,StyleType,Description,StyleCode,ParentStyleCode,ProductStyleCode,ColorPatternCode,ColorPatternCodeId,SizeType,SizeCode,SizeCodeId,WidthCode,WidthCodeId,LengthCode,LengthCodeId,ClassCode,SubClassCode,DepartmentCode,DivisionCode,OEMCode,AlternateCode,Remark,Model,CatalogPage,CategoryCode,GroupCode,SubGroupCode,ProductStatus,PriceRule,Stockable,Taxable,Costable,IsProfit,Currency,UOM,QtyPerPallot,QtyPerCase,QtyPerBox,PackType,PackQty,DefaultPackType,DefaultVendorCode,PoSize,MinStock,LeadTimeDay,ProductYear,MaterialsContent,CareInstructions,ColorCodeNRF,ColorGroupNRF,SizeCodeNRF,SizePrimaryNRF,SizeSecondaryNRF,SizeHeadingNRF,SizeHeading2NRF,CategoryNRF,SubCategoryNRF,DropshipPrice,CRVPrice,ColorDesc,SizeDesc,WidthDesc,LengthDesc,PrepackCode,PrepackQty,AddWarehouse,AddAvaQty,ShipLeadTimeDay,ShipHandlingFee,ReceiveHandlingFee,ReturnHandlingFee,StorageFee,DisableDropshipReturn,OptionName1,OptionName2,OptionName3,OptionName4,OptionName5,OptionValue1,OptionValue2,OptionValue3,OptionValue4,OptionValue5,DropshipCategoryCode,DropshipCategoryCodePath,Barcode,Tags
F13T007SS-CABERNET-XS-STD,,0,Poetic Justice,Vibes,S&P V-neck Sleeveless Peplum Blouse Front Hook-and-eye Closu,,,Agnes Cabernet Hook And Eye Sleeveless 100% Silk Blouse,,8.09666E+11,,,,29,49.99,58,0,1,,0,0,F13T007SS,F13T007SS-CABERNET,0,1,0.4,0,0,12,12,12,1,12,12,,0,,0,,,,,,,,,,,F13T007SS,,,CABERNET,10169,Regular,XS,UNISEX-XS,STD,,STD,UNISEX-STD,UNISEX,01,Women,,,,,,,TOP,,Sleeveless,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,8.5,0,Cabernet,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
F13T007SS-CABERNET-S-STD,,0,Poetic Justice,Vibes,S&P V-neck Sleeveless Peplum Blouse Front Hook-and-eye Closu,,,Agnes Cabernet Hook And Eye Sleeveless 100% Silk Blouse,,8.09666E+11,,,,29,49.99,58,0,1,,0,0,F13T007SS,F13T007SS-CABERNET,0,1,0.4,0,0,12,12,12,1,12,12,,0,,0,,,,,,,,,,,F13T007SS,,,CABERNET,10169,Regular,S,UNISEX-S,STD,,STD,UNISEX-STD,UNISEX,01,Women,,,,,,,TOP,,Sleeveless,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,8.5,0,Cabernet,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
F13T007SS-CABERNET-M-STD,,0,Poetic Justice,Vibes,S&P V-neck Sleeveless Peplum Blouse Front Hook-and-eye Closu,,,Agnes Cabernet Hook And Eye Sleeveless 100% Silk Blouse,,8.09666E+11,,,,29,49.99,58,0,1,,0,0,F13T007SS,F13T007SS-CABERNET,0,1,0.4,0,0,12,12,12,1,12,12,,0,,0,,,,,,,,,,,F13T007SS,,,CABERNET,10169,Regular,M,UNISEX-M,STD,,STD,UNISEX-STD,UNISEX,01,Women,,,,,,,TOP,,Sleeveless,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,8.5,0,Cabernet,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-26-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,26,WOMEN-26,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-27-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,27,WOMEN-27,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-28-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,28,WOMEN-28,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-29-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,29,WOMEN-29,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-30-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,30,WOMEN-30,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-31-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,31,WOMEN-31,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-32-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,32,WOMEN-32,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-26-32,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,26,WOMEN-26,STD,,32,WOMEN-32,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-27-32,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,27,WOMEN-27,STD,,32,WOMEN-32,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-28-32,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,28,WOMEN-28,STD,,32,WOMEN-32,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-29-32,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,29,WOMEN-29,STD,,32,WOMEN-32,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-30-32,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,30,WOMEN-30,STD,,32,WOMEN-32,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-31-32,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,31,WOMEN-31,STD,,32,WOMEN-32,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1464KINGSC-32-32,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1464KINGSC,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1464KINGSC,1464 KINGSC,Regular,32,WOMEN-32,STD,,32,WOMEN-32,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15.6,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1608BLAU2-26-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1608BLAU2,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1608BLAU2,1608 BLAU2,Regular,26,WOMEN-26,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,14.1,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1608BLAU2-27-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1608BLAU2,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1608BLAU2,1608 BLAU2,Regular,27,WOMEN-27,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,14.1,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1608BLAU2-28-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1608BLAU2,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1608BLAU2,1608 BLAU2,Regular,28,WOMEN-28,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,14.1,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1608BLAU2-29-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1608BLAU2,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1608BLAU2,1608 BLAU2,Regular,29,WOMEN-29,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,14.1,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1608BLAU2-30-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1608BLAU2,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1608BLAU2,1608 BLAU2,Regular,30,WOMEN-30,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,14.1,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA13501DM-1608BLAU2-31-30,,0,Poetic Justice,Vibes Base,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,This stretch-woven skinny jean sets itself apart from the others with our signature soft-touch denim for a body-hugging fit with amazing stretch and recovery. Wear it with your favorite blouse or t-shirt for everyday comfort with a dash of style.,"Five-pocket mid-rise jeans are made with our signature soft-touch twill woven denim for a body-hugging fit. White stitching, hand sanding on front and back panels. Whiskering on the front with silver hardware and zipper.",Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,8.09667E+11,,,,34,0,68,0,1,,0,0,FA13501DM,FA13501DM-1608BLAU2,0,2,1,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,FA13501DM,,,1608BLAU2,1608 BLAU2,Regular,31,WOMEN-31,STD,,30,WOMEN-30,WMSIZE1,Jeans,Women,Contemporary Brand,,,,,,BOTTOM,ALL,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,14.1,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
